candidate_id,req_id,department,role,stage,source,applied_date,stage_date,days_in_stage,recruiter_email
C0138,R-104,Engineering,DevOps Engineer,Applied,Agency,2026-09-20,2026-09-22,2,s.malik@company.com
C0194,R-201,Sales,Account Executive,Offer Extended,Careers Page,2026-09-04,2026-09-30,26,n.hussain@company.com
C0273,R-202,Sales,Sales Development Rep,Rejected,Job Board,2026-08-02,2026-08-04,2,n.hussain@company.com
C0234,R-201,Sales,Account Executive,Phone Screen,Referral,2026-07-08,2026-07-12,4,n.hussain@company.com
C0141,R-103,Engineering,ML Engineer,Phone Screen,Job Board,2026-08-30,2026-09-30,31,
C0180,R-201,Sales,Account Executive,Offer Extended,Job Board,2026-08-29,2026-09-21,23,n.hussain@company.com
C0107,R-103,Engineering,ML Engineer,Applied,LinkedIn,2026-07-16,2026-07-22,6,s.malik@company.com
C0303,R-302,Marketing,Growth Analyst,Hired,Careers Page,2026-08-30,2026-09-10,11,f.ahmed@company.com
C0156,R-104,Engineering,DevOps Engineer,Phone Screen,Careers Page,2026-09-18,2026-09-30,12,s.malik@company.com
C0328,R-301,Marketing,Content Marketer,Rejected,Referral,2026-09-10,2026-09-14,4,f.ahmed@company.com
C0192,R-201,Sales,Account Executive,Applied,Referral,2026-07-31,2026-08-11,11,n.hussain@company.com
C0317,R-301,Marketing,Content Marketer,Applied,LinkedIn,2026-08-17,2026-08-31,14,f.ahmed@company.com
C0079,R-101,Engineering,Senior Backend Engineer,Onsite,LinkedIn,2026-09-05,2026-09-14,9,
C0287,R-301,Marketing,Content Marketer,Phone Screen,Referral,2026-08-27,2026-08-30,3,f.ahmed@company.com
C0313,R-301,Marketing,Content Marketer,Phone Screen,Job Board,2026-09-22,2026-09-30,8,f.ahmed@company.com
C0113,R-104,Engineering,DevOps Engineer,Phone Screen,Referral,2026-09-24,2026-09-27,3,s.malik@company.com
C0114,R-103,Engineering,ML Engineer,Phone Screen,Job Board,2026-08-16,2026-09-14,29,s.malik@company.com
C0189,R-201,Sales,Account Executive,Rejected,Job Board,2026-09-14,2026-09-19,5,n.hussain@company.com
C0300,R-301,Marketing,Content Marketer,Hired,Referral,2026-07-17,2026-07-24,7,f.ahmed@company.com
C0271,R-201,Sales,Account Executive,Rejected,LinkedIn,2026-08-28,2026-08-30,2,n.hussain@company.com
C0160,R-101,Engineering,Senior Backend Engineer,Applied,Referral,2026-07-19,2026-07-24,5,s.malik@company.com
C0258,R-202,Sales,Sales Development Rep,Phone Screen,Agency,2026-08-17,2026-08-22,5,
C0296,R-302,Marketing,Growth Analyst,Hired,Referral,2026-09-12,2026-09-16,4,f.ahmed@company.com
C0082,R-104,Engineering,DevOps Engineer,Rejected,Job Board,2026-08-01,2026-08-14,13,s.malik@company.com
C0158,R-103,Engineering,ML Engineer,Rejected,Job Board,2026-08-29,2026-09-01,3,s.malik@company.com
C0239,R-202,Sales,Sales Development Rep,Rejected,Job Board,2026-09-17,2026-09-21,4,n.hussain@company.com
C0061,R-104,Engineering,DevOps Engineer,Applied,Careers Page,2026-09-08,2026-09-15,7,s.malik@company.com
C0032,R-104,Engineering,DevOps Engineer,Applied,Job Board,2026-09-02,2026-09-07,5,s.malik@company.com
C0281,R-302,Marketing,Growth Analyst,Hired,Careers Page,2026-07-15,2026-07-18,3,f.ahmed@company.com
C0185,R-201,Sales,Account Executive,Onsite,Agency,2026-08-16,2026-08-19,3,n.hussain@company.com
C0283,R-302,Marketing,Growth Analyst,Applied,LinkedIn,2026-08-23,2026-08-30,7,f.ahmed@company.com
C0006,R-101,Engineering,Senior Backend Engineer,Phone Screen,Referral,2026-08-03,2026-08-28,25,
C0155,R-102,Engineering,Frontend Engineer,Applied,Job Board,2026-08-03,2026-08-10,7,s.malik@company.com
C0169,R-103,Engineering,ML Engineer,Applied,LinkedIn,2026-08-06,2026-08-18,12,s.malik@company.com
C0137,R-103,Engineering,ML Engineer,Applied,LinkedIn,2026-07-25,2026-08-01,7,s.malik@company.com
C0229,R-201,Sales,Account Executive,Applied,LinkedIn,2026-09-16,2026-09-20,4,n.hussain@company.com
C0121,R-104,Engineering,DevOps Engineer,Applied,LinkedIn,2026-09-12,2026-09-15,3,s.malik@company.com
C0197,R-202,Sales,Sales Development Rep,Hired,Referral,2026-07-11,2026-07-15,4,n.hussain@company.com
C0134,R-101,Engineering,Senior Backend Engineer,Rejected,Job Board,2026-08-04,2026-08-15,11,
C0004,R-103,Engineering,ML Engineer,Offer Extended,LinkedIn,2026-07-25,2026-08-07,13,s.malik@company.com
C0128,R-103,Engineering,ML Engineer,Phone Screen,Job Board,2026-08-03,2026-08-29,26,s.malik@company.com
C0166,R-104,Engineering,DevOps Engineer,Applied,Referral,2026-08-26,2026-09-06,11,s.malik@company.com
C0245,R-202,Sales,Sales Development Rep,Offer Extended,LinkedIn,2026-08-09,2026-08-28,19,n.hussain@company.com
C0072,R-101,Engineering,Senior Backend Engineer,Applied,LinkedIn,2026-09-13,2026-09-24,11,s.malik@company.com
C0095,R-104,Engineering,DevOps Engineer,Applied,Job Board,2026-08-25,2026-08-30,5,s.malik@company.com
C0049,R-103,Engineering,ML Engineer,Phone Screen,Agency,2026-09-10,2026-09-28,18,s.malik@company.com
C0206,R-202,Sales,Sales Development Rep,Rejected,Agency,2026-08-24,2026-09-08,15,n.hussain@company.com
C0045,R-103,Engineering,ML Engineer,Applied,Job Board,2026-08-04,2026-08-10,6,s.malik@company.com
C0168,R-101,Engineering,Senior Backend Engineer,Rejected,Job Board,2026-08-06,2026-08-20,14,s.malik@company.com
C0264,R-202,Sales,Sales Development Rep,Offer Extended,LinkedIn,2026-09-04,2026-09-30,26,n.hussain@company.com
C0219,R-202,Sales,Sales Development Rep,Rejected,Careers Page,2026-08-02,2026-08-08,6,n.hussain@company.com
C0208,R-201,Sales,Account Executive,Applied,Job Board,2026-07-14,2026-07-21,7,n.hussain@company.com
C0333,R-302,Marketing,Growth Analyst,Phone Screen,Referral,2026-09-15,2026-09-19,4,f.ahmed@company.com
C0321,R-302,Marketing,Growth Analyst,Offer Extended,Referral,2026-09-11,2026-09-17,6,f.ahmed@company.com
C0322,R-302,Marketing,Growth Analyst,Onsite,LinkedIn,2026-08-19,2026-08-31,12,f.ahmed@company.com
C0152,R-104,Engineering,DevOps Engineer,Phone Screen,Job Board,2026-07-31,2026-09-02,33,s.malik@company.com
C0173,R-202,Sales,Sales Development Rep,Offer Extended,Careers Page,2026-07-22,2026-08-13,22,n.hussain@company.com
C0008,R-103,Engineering,ML Engineer,Phone Screen,Job Board,2026-07-10,2026-08-18,39,s.malik@company.com
C0327,R-301,Marketing,Content Marketer,Onsite,Careers Page,2026-08-30,2026-09-14,15,f.ahmed@company.com
C0132,R-103,Engineering,ML Engineer,Phone Screen,Job Board,2026-07-15,2026-08-21,37,
C0235,R-201,Sales,Account Executive,Offer Extended,Agency,2026-07-12,2026-08-14,33,n.hussain@company.com
C0084,R-104,Engineering,DevOps Engineer,Phone Screen,LinkedIn,2026-07-21,2026-08-30,40,s.malik@company.com
C0170,R-102,Engineering,Frontend Engineer,Phone Screen,Careers Page,2026-09-21,2026-09-30,9,s.malik@company.com
C0058,R-104,Engineering,DevOps Engineer,Rejected,Job Board,2026-08-11,2026-08-26,15,s.malik@company.com
C0099,R-101,Engineering,Senior Backend Engineer,Onsite,LinkedIn,2026-08-09,2026-08-12,3,s.malik@company.com
C0140,R-101,Engineering,Senior Backend Engineer,Phone Screen,Job Board,2026-08-22,2026-09-10,19,s.malik@company.com
C0240,R-202,Sales,Sales Development Rep,Onsite,Careers Page,2026-09-25,2026-09-30,5,
C0259,R-201,Sales,Account Executive,Rejected,Job Board,2026-07-19,2026-07-23,4,
C0069,R-101,Engineering,Senior Backend Engineer,Phone Screen,Referral,2026-08-09,2026-09-01,23,s.malik@company.com
C0253,R-202,Sales,Sales Development Rep,Offer Extended,Referral,2026-07-21,2026-08-02,12,n.hussain@company.com
C0269,R-201,Sales,Account Executive,Rejected,Careers Page,2026-08-12,2026-08-16,4,
C0279,R-302,Marketing,Growth Analyst,Onsite,Job Board,2026-07-29,2026-08-11,13,f.ahmed@company.com
C0233,R-202,Sales,Sales Development Rep,Offer Extended,Careers Page,2026-09-14,2026-09-29,15,n.hussain@company.com
C0146,R-104,Engineering,DevOps Engineer,Rejected,LinkedIn,2026-09-20,2026-09-24,4,s.malik@company.com
C0172,R-202,Sales,Sales Development Rep,Rejected,LinkedIn,2026-07-17,2026-07-31,14,n.hussain@company.com
C0055,R-101,Engineering,Senior Backend Engineer,Applied,Agency,2026-07-20,2026-07-30,10,
C0309,R-301,Marketing,Content Marketer,Applied,Careers Page,2026-09-17,2026-09-25,8,f.ahmed@company.com
C0291,R-302,Marketing,Growth Analyst,Rejected,Job Board,2026-07-30,2026-08-13,14,f.ahmed@company.com
C0153,R-102,Engineering,Frontend Engineer,Phone Screen,Job Board,2026-07-13,2026-08-27,45,s.malik@company.com
C0005,R-103,Engineering,ML Engineer,Applied,Agency,2026-08-17,2026-08-20,3,s.malik@company.com
C0338,R-301,Marketing,Content Marketer,Hired,LinkedIn,2026-08-22,2026-08-29,7,f.ahmed@company.com
C0149,R-104,Engineering,DevOps Engineer,Rejected,Job Board,2026-09-11,2026-09-18,7,s.malik@company.com
C0096,R-101,Engineering,Senior Backend Engineer,Onsite,Agency,2026-07-26,2026-08-10,15,
C0254,R-201,Sales,Account Executive,Rejected,LinkedIn,2026-08-31,2026-09-15,15,n.hussain@company.com
C0204,R-201,Sales,Account Executive,Applied,LinkedIn,2026-08-17,2026-08-31,14,n.hussain@company.com
C0019,R-104,Engineering,DevOps Engineer,Phone Screen,Agency,2026-07-13,2026-08-21,39,s.malik@company.com
C0091,R-104,Engineering,DevOps Engineer,Onsite,Careers Page,2026-07-28,2026-08-08,11,s.malik@company.com
C0214,R-202,Sales,Sales Development Rep,Rejected,Job Board,2026-07-11,2026-07-27,16,
C0090,R-102,Engineering,Frontend Engineer,Phone Screen,LinkedIn,2026-09-01,2026-09-19,18,s.malik@company.com
C0020,R-103,Engineering,ML Engineer,Onsite,Referral,2026-08-11,2026-08-15,4,s.malik@company.com
C0274,R-201,Sales,Account Executive,Phone Screen,Careers Page,2026-07-07,2026-07-22,15,n.hussain@company.com
C0119,R-103,Engineering,ML Engineer,Phone Screen,LinkedIn,2026-09-05,2026-09-26,21,s.malik@company.com
C0294,R-301,Marketing,Content Marketer,Hired,LinkedIn,2026-08-09,2026-08-17,8,f.ahmed@company.com
C0334,R-302,Marketing,Growth Analyst,Rejected,Careers Page,2026-07-26,2026-08-01,6,
C0046,R-103,Engineering,ML Engineer,Phone Screen,Agency,2026-07-14,2026-08-01,18,s.malik@company.com
C0031,R-103,Engineering,ML Engineer,Phone Screen,LinkedIn,2026-07-21,2026-08-31,41,s.malik@company.com
